# mu sigma energy error acceptance
0.84 0.68 -0.4168769531 0.008925799572 0.7132
0.84 0.7 -0.3901273178 0.01455040729 0.7232
0.84 0.72 -0.3818845998 0.01423800552 0.72545
0.84 0.74 -0.3141727624 0.02742735407 0.7405
0.84 0.76 -0.3147950506 0.01885399046 0.7387
0.84 0.78 -0.2674148077 0.02786953877 0.7323
0.84 0.8 -0.2455154371 0.0274432402 0.7297
0.86 0.4 0.3178497907 0.0288398081 0.40045
0.86 0.42 0.1665081103 0.02815497198 0.4254
0.86 0.44 -0.00510123465 0.02254901255 0.45225
0.86 0.46 -0.0618118968 0.01916350613 0.47775
0.86 0.48 -0.1787867664 0.0156140869 0.5033
0.86 0.5 -0.2502035904 0.01313037485 0.5254
0.86 0.52 -0.3185976883 0.009940781137 0.5602
0.86 0.54 -0.36834241 0.008161675371 0.5843
0.86 0.56 -0.3948425028 0.006606035826 0.6098
0.86 0.58 -0.4157316248 0.006875363923 0.63545
0.86 0.6 -0.4246128166 0.006536573793 0.6512
0.86 0.62 -0.4476073785 0.006110610701 0.6757
0.86 0.64 -0.4281611527 0.007179851001 0.69235
0.86 0.66 -0.4102692359 0.01270198937 0.6982
0.86 0.68 -0.4072922576 0.01277590594 0.7134
0.86 0.7 -0.3577825367 0.01542607933 0.7216
0.86 0.72 -0.323316951 0.01678261219 0.72605
0.86 0.74 -0.2818096513 0.03583127051 0.73695
0.86 0.76 -0.3078055224 0.02271123195 0.7418
0.86 0.78 -0.2509248917 0.02810096882 0.74085
0.86 0.8 -0.2331846446 0.03155995298 0.73865
0.88 0.4 0.2676904538 0.03215785587 0.3893
0.88 0.42 0.1783594198 0.02695400506 0.41105
0.88 0.44 0.03143126875 0.02090913081 0.4338
0.88 0.46 -0.1109088251 0.01669506166 0.46985
0.88 0.48 -0.1880477143 0.01581071569 0.5004
0.88 0.5 -0.2469974734 0.01269063267 0.52685
0.88 0.52 -0.3139917165 0.01072371249 0.5441
0.88 0.54 -0.370335748 0.007660567355 0.57385
0.88 0.56 -0.3896353953 0.007822017847 0.5935
0.88 0.58 -0.4118683556 0.005465251989 0.6234
0.88 0.6 -0.4200744322 0.006991805318 0.6484
0.88 0.62 -0.4189319506 0.007800419147 0.65825
0.88 0.64 -0.4034335997 0.01053354765 0.68065
0.88 0.66 -0.3967889093 0.01164255223 0.69205
0.88 0.68 -0.3769435627 0.013830164 0.71085
0.88 0.7 -0.3563616762 0.01780575047 0.7167
0.88 0.72 -0.306203351 0.02725193297 0.73025
0.88 0.74 -0.3083475252 0.02230148891 0.73855
0.88 0.76 -0.2617620497 0.02792003285 0.7393
0.88 0.78 -0.2493359799 0.02457557002 0.74615
0.88 0.8 -0.1946703166 0.03161958383 0.74775
0.9 0.4 0.1987224349 0.03088372156 0.38065
0.9 0.42 0.1856952415 0.02521356633 0.4029
0.9 0.44 0.02330044189 0.02209527126 0.4241
0.9 0.46 -0.1003631326 0.01931157381 0.45765
0.9 0.48 -0.1673723544 0.01454478392 0.48305
0.9 0.5 -0.2362387299 0.01257452516 0.50765
0.9 0.52 -0.3052970808 0.01047793909 0.5358
0.9 0.54 -0.3479235041 0.008396942111 0.5621
0.9 0.56 -0.3770350176 0.006748772216 0.5864
0.9 0.58 -0.3869877077 0.007942249344 0.6068
0.9 0.6 -0.4150915257 0.00698442617 0.63395
0.9 0.62 -0.4054074998 0.01038755316 0.6516
0.9 0.64 -0.4077537965 0.01220230621 0.67265
0.9 0.66 -0.3515521613 0.01665945825 0.6912
0.9 0.68 -0.3731639271 0.01447344095 0.6983
0.9 0.7 -0.3611705297 0.01423663147 0.7231
0.9 0.72 -0.310697221 0.02536357602 0.7259
0.9 0.74 -0.2696808286 0.02814232056 0.7324
0.9 0.76 -0.2485866676 0.02681701465 0.7494
0.9 0.78 -0.1952689918 0.03127058598 0.7494
0.9 0.8 -0.1534603585 0.03412717727 0.7508
0.92 0.4 0.3335457616 0.02948685688 0.3655
0.92 0.42 0.2222378479 0.02395204488 0.39085
0.92 0.44 0.04616243382 0.01990215795 0.41825
0.92 0.46 -0.09253595333 0.01780834816 0.441
0.92 0.48 -0.1617831736 0.01484637481 0.4685
0.92 0.5 -0.1950104087 0.01225832729 0.48585
0.92 0.52 -0.2638561245 0.009239798837 0.52235
0.92 0.54 -0.3421966341 0.008468556749 0.54915
0.92 0.56 -0.3592739143 0.007394584775 0.5729
0.92 0.58 -0.3772437341 0.007753131801 0.60205
0.92 0.6 -0.3780630466 0.009979710675 0.62215
0.92 0.62 -0.3889940395 0.009574249027 0.64245
0.92 0.64 -0.3759316598 0.01081358047 0.65895
0.92 0.66 -0.3541620158 0.01542669436 0.68115
0.92 0.68 -0.3503484981 0.01515063159 0.69795
0.92 0.7 -0.3086158576 0.01963244003 0.7033
0.92 0.72 -0.2513089374 0.02418481524 0.71965
0.92 0.74 -0.2761180818 0.02148244636 0.7313
0.92 0.76 -0.2379238096 0.02801235396 0.7432
0.92 0.78 -0.1739095433 0.02969607768 0.7496
0.92 0.8 -0.1060671009 0.04677344983 0.7596
0.94 0.4 0.3452034943 0.02889556189 0.3556
0.94 0.42 0.18288346 0.02251261155 0.37965
0.94 0.44 0.04401891993 0.02324989847 0.4081
0.94 0.46 -0.06898051473 0.01501843188 0.43505
0.94 0.48 -0.1349267984 0.01483191215 0.458
0.94 0.5 -0.1959460802 0.01192503906 0.484
0.94 0.52 -0.263899141 0.009634817328 0.5118
0.94 0.54 -0.314119201 0.007962755066 0.53975
0.94 0.56 -0.3415490038 0.007360174193 0.5625
0.94 0.58 -0.3444741756 0.008417494083 0.584
0.94 0.6 -0.3670475152 0.01022259877 0.6142
0.94 0.62 -0.364939902 0.01222895956 0.6273
0.94 0.64 -0.3339024862 0.014245271 0.65035
0.94 0.66 -0.3495564222 0.02208871403 0.6716
